"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"19. ","Joy Marble and Tile","(918) 851-0596","https://www.yellowpages.com/tulsa-ok/mip/joy-marble-and-tile-453893911","Granite,Tile-Contractors & Dealers,Kitchen Planning & Remodeling Service","http://www.joymarble.com","","5931 E.12th St.","Tulsa","OK","74112","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"20. ","Pacific Shore Stones","(918) 234-8400","https://www.yellowpages.com/tulsa-ok/mip/pacific-shore-stones-23000005","Granite,Counter Tops,Stone Natural","http://www.pacificshorestones.com","","11401 E 27th St N","Tulsa","OK","74116","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"21. ","Midwest Marble Co","(918) 587-8193","https://www.yellowpages.com/tulsa-ok/mip/midwest-marble-co-7657135","Granite,Marble-Natural,Marble-Natural-Wholesale & Manufacturers","https://www.tulsahba.com/list/member/midwest-marble-company-tulsa-2041","","510 S Quincy Ave","Tulsa","OK","74120","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"22. ","Benchmark Monument","(918) 582-8600","https://www.yellowpages.com/tulsa-ok/mip/benchmark-monument-1909441","Granite,Mausoleums,Monuments","http://benchmarkmonuments.com","","1735 E 11th St","Tulsa","OK","74104","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"23. ","Acme Brick Tile & Stone","(877) 838-4391","https://www.yellowpages.com/tulsa-ok/mip/acme-brick-tile-stone-5001866","Granite,Brick-Clay-Common & Face,Cultured Marble","https://brick.com/tulsa","","5130 S 110th East Ave","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"24. ","American Marble","(918) 812-7940","https://www.yellowpages.com/tulsa-ok/mip/american-marble-4061534","Granite,Cultured Marble,Marble-Natural","http://americanmarbletulsa.com","","3815 Charles Page Blvd","Tulsa","OK","74127","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"25. ","Ideal Floor and Home","(918) 707-8401","https://www.yellowpages.com/tulsa-ok/mip/ideal-floor-and-home-536655332","Granite,Flooring Contractors,Tile-Contractors & Dealers","","","9300 Broken Arrow Expy Ste B","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"26. ","Crossroads Granite LLC","(918) 561-6021","https://www.yellowpages.com/tulsa-ok/mip/crossroads-granite-llc-481575975","Granite,Home Improvements,Home Repair & Maintenance","","","9920 E 47th St","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"27. ","Joy Marble and Tile","(918) 728-7899","https://www.yellowpages.com/tulsa-ok/mip/joy-marble-and-tile-545653185","Granite,Tile-Contractors & Dealers,Kitchen Planning & Remodeling Service","http://www.joymarble.com","","5420 S. 94th E. Ave","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"28. ","The Tile Shop","(918) 505-7930","https://www.yellowpages.com/tulsa-ok/mip/the-tile-shop-501878200","Granite,Tile-Contractors & Dealers,Floor Materials","http://tileshop.com","","9915 E 71st St","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"29. ","Joy Marble & Tile","(918) 728-7899","https://www.yellowpages.com/tulsa-ok/mip/joy-marble-tile-577163883","Granite,Marble-Natural,Tile-Contractors & Dealers","https://joymarble.com","","6848 E 41st St","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"30. ","Red River Granite Importers & Tile","(918) 615-6316","https://www.yellowpages.com/tulsa-ok/mip/red-river-granite-importers-tile-550846370","Granite,Tile-Contractors & Dealers,Kitchen Planning & Remodeling Service","","","5840 S Mingo Rd","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=1"
"31. ","MidWest Tile Marble & Granite","(918) 254-6819","https://www.yellowpages.com/tulsa-ok/mip/midwest-tile-marble-granite-5793781","Granite,Tile-Contractors & Dealers","http://www.midwesttile.com","","10342 E 58th St","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=2"
"32. ","Bogart Granite & Marble","(918) 712-5060","https://www.yellowpages.com/tulsa-ok/mip/bogart-granite-marble-15037712","Granite,Marble-Natural,Counter Tops","","","5251 S Peoria Ave","Tulsa","OK","74105","https://www.yellowpages.com/search?search_terms=granite&geo_location_terms=Tulsa,ok&page=2"
