"rank","business_name","telephone","business_page","category","website","rating","street","locality","region","zipcode","listing_url"
"11. ","Brook Restaurant","(918) 748-9977","https://www.yellowpages.com/tulsa-ok/mip/brook-restaurant-19639884","Restaurants,American Restaurants,Bars","http://www.brookrestaurant.com","","3401 S Peoria Ave","Tulsa","OK","74105","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"12. ","Wild Fork","(918) 742-0712","https://www.yellowpages.com/tulsa-ok/mip/wild-fork-5566210","Restaurants,American Restaurants,Family Style Restaurants","https://wildforkfoods.com","","1820 Utica Sq","Tulsa","OK","74114","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"13. ","Redrock Canyon Grill","(918) 394-7625","https://www.yellowpages.com/tulsa-ok/mip/redrock-canyon-grill-5037853","Restaurants,American Restaurants,Take Out Restaurants","http://www.redrockcanyongrill.com","","9916 Riverside Pkwy","Tulsa","OK","74137","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"14. ","Charleston's Restaurant","(918) 495-3511","https://www.yellowpages.com/tulsa-ok/mip/charlestons-restaurant-461726532","Restaurants,American Restaurants,Family Style Restaurants","http://www.charlestons.com","","6839 S Yale Ave","Tulsa","OK","74136","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"15. ","In The Raw South","(918) 524-0063","https://www.yellowpages.com/tulsa-ok/mip/in-the-raw-south-6390936","Restaurants,Sushi Bars,Japanese Grocery Stores","http://www.intherawsushi.com","","6151 S Sheridan Rd","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"16. ","Ridge Grill","(918) 994-4888","https://www.yellowpages.com/tulsa-ok/mip/ridge-grill-466100570","Restaurants,American Restaurants,Seafood Restaurants","http://www.ridgegrill.com","","9999 S Mingo Rd","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"17. ","Savoy Restaurant","(918) 494-5621","https://www.yellowpages.com/tulsa-ok/mip/savoy-restaurant-10986416","Restaurants,American Restaurants,Coffee Shops","http://www.savoyrestaurant.com","","6033 S Sheridan Rd","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"18. ","McGill's","(918) 388-8080","https://www.yellowpages.com/tulsa-ok/mip/mcgills-2935436","Restaurants,American Restaurants,Steak Houses","","","6058 S Yale Ave","Tulsa","OK","74135","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"19. ","Oliveto Italian Bistro","(918) 994-7000","https://www.yellowpages.com/tulsa-ok/mip/oliveto-italian-bistro-18902953","Restaurants,Italian Restaurants,Caterers","http://olivetobistro.com","","8922 S Memorial Dr","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"20. ","Celebrity Club Fine Dining","(918) 743-1800","https://www.yellowpages.com/tulsa-ok/mip/celebrity-club-fine-dining-4129326","Restaurants,Family Style Restaurants","http://celebritytulsa.com","","3109 S Yale Ave","Tulsa","OK","74135","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"21. ","Twin Peaks Tulsa","(918) 250-0700","https://www.yellowpages.com/tulsa-ok/mip/twin-peaks-tulsa-21667732","Restaurants,American Restaurants,Bar & Grills","http://www.twinpeaksrestaurant.com","","7007 S Memorial Dr","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"22. ","S & J Oyster Co","(918) 938-7933","https://www.yellowpages.com/tulsa-ok/mip/s-j-oyster-co-473705971","Restaurants,Creole & Cajun Restaurants,Seafood Restaurants","","","308 E 1st St","Tulsa","OK","74120","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"23. ","Stonehorse Cafe","(918) 712-7470","https://www.yellowpages.com/tulsa-ok/mip/stonehorse-cafe-5144089","Restaurants,American Restaurants,Coffee Shops","http://www.stonehorsecafe.com","","1748 Utica Sq","Tulsa","OK","74114","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"24. ","The Gaucho","(918) 494-0042","https://www.yellowpages.com/tulsa-ok/mip/the-gaucho-4654061","Restaurants,Steak Houses","","","6219 E 61st St","Tulsa","OK","74136","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"25. ","Eddy's Steakhouse","(918) 742-5212","https://www.yellowpages.com/tulsa-ok/mip/eddys-steakhouse-6664988","Restaurants,Steak Houses","","","3510 E 31st St","Tulsa","OK","74135","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"26. ","Cracker Barrel Old Country Store","(918) 447-4505","https://www.yellowpages.com/tulsa-ok/mip/cracker-barrel-old-country-store-465332521","Restaurants,American Restaurants,Family Style Restaurants","https://www.crackerbarrel.com/Locations/States/ok/south-tulsa/661","","7128 S Olympia Ave","Tulsa","OK","74132","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"27. ","Steakfinger House","(918) 584-0454","https://www.yellowpages.com/tulsa-ok/mip/steakfinger-house-6059693","Restaurants,Coffee Shops,Steak Houses","https://www.facebook.com/steakfingerhouse","","403 S Boulder Ave","Tulsa","OK","74103","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"28. ","The Tropical Restaurant & Bar","(918) 878-7977","https://www.yellowpages.com/tulsa-ok/mip/the-tropical-restaurant-bar-462508565","Restaurants,Thai Restaurants,Family Style Restaurants","http://www.tropicaltulsa.com","","8125 E 49th St","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"29. ","Billy Sims Barbecue","(918) 794-9898","https://www.yellowpages.com/tulsa-ok/mip/billy-sims-barbecue-5155648","Restaurants,Barbecue Restaurants","http://www.billysimsbbq.com","","7719 E 91st St","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"30. ","Chimi's Mexican Restaurant","(918) 960-2723","https://www.yellowpages.com/tulsa-ok/mip/chimis-mexican-restaurant-22761767","Restaurants,Mexican Restaurants,American Restaurants","http://www.chimismexican.com","","6709 E 81st St","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=1"
"31. ","Fleming's Prime Steakhouse","(918) 712-7500","https://www.yellowpages.com/tulsa-ok/mip/flemings-prime-steakhouse-7742223","Restaurants,American Restaurants,Steak Houses","http://www.flemingssteakhouse.com","","1976 Utica Sq","Tulsa","OK","74114","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"32. ","Dalesandro's","(918) 582-1551","https://www.yellowpages.com/tulsa-ok/mip/dalesandros-3202901","Restaurants,Italian Restaurants","http://www.dalesandros.com","","1742 S Boston Ave","Tulsa","OK","74119","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"33. ","Duffy's Restaurant","(918) 745-0070","https://www.yellowpages.com/tulsa-ok/mip/duffys-restaurant-10005462","Restaurants,American Restaurants,Family Style Restaurants","","","2424 E 15th St","Tulsa","OK","74104","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"34. ","Jamil's Restaurant","(918) 742-9097","https://www.yellowpages.com/tulsa-ok/mip/jamils-restaurant-3823908","Restaurants,Steak Houses,American Restaurants","http://www.jamilsrestaurant.com","","3823 E 51st St","Tulsa","OK","74135","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"35. ","Pei Wei Asian Kitchen","(918) 497-1015","https://www.yellowpages.com/tulsa-ok/mip/pei-wei-asian-kitchen-452475761","Restaurants,Asian Restaurants,Chinese Restaurants","https://www.peiwei.com/oklahoma/53-kingspointe","","5954 S Yale Ave","Tulsa","OK","74135","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"36. ","Timmy's Diner","(918) 665-8646","https://www.yellowpages.com/tulsa-ok/mip/timmys-diner-452263807","Restaurants,Coffee Shops,American Restaurants","http://timmysdiner.com","","10915 E 31st St","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"37. ","Queenies Plus","(918) 749-3481","https://www.yellowpages.com/tulsa-ok/mip/queenies-plus-4153431","Restaurants,American Restaurants,Delicatessens","http://www.queeniesoftulsa.com","","1834 Utica Sq","Tulsa","OK","74114","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"38. ","Andolini's Pizzeria Cherry Street","(918) 728-6111","https://www.yellowpages.com/tulsa-ok/mip/andolinis-pizzeria-cherry-street-462609874","Restaurants,Italian Restaurants,Cocktail Lounges","https://andopizza.com/location/tulsa","","1552 E 15th St","Tulsa","OK","74120","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"39. ","Carrabba's Italian Grill","(918) 254-8888","https://www.yellowpages.com/tulsa-ok/mip/carrabbas-italian-grill-3080019","Restaurants,Italian Restaurants,Bar & Grills","http://www.carrabbas.com","","11021 E 71st St","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"40. ","The Brook","(918) 392-9977","https://www.yellowpages.com/tulsa-ok/mip/the-brook-4267369","Restaurants,American Restaurants,Bars","http://www.brookrestaurant.com","","7725 E 91st St","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"41. ","Keo","(918) 794-8200","https://www.yellowpages.com/tulsa-ok/mip/keo-10309810","Restaurants,Vietnamese Restaurants,Asian Restaurants","http://www.keorestaurant.com","","3524 S Peoria Ave","Tulsa","OK","74105","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"42. ","Billy Ray's B-B-Q & Catfish","(918) 445-0972","https://www.yellowpages.com/tulsa-ok/mip/billy-rays-b-b-q-catfish-9556723","Restaurants,Barbecue Restaurants,American Restaurants","http://billyraysbbq.com","","3524 Southwest Blvd","Tulsa","OK","74107","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"43. ","Tucci's","(918) 582-3456","https://www.yellowpages.com/tulsa-ok/mip/tuccis-6269383","Restaurants,Italian Restaurants,Pizza","http://www.flickr.com/photos/nashcreative/3265443516","","1344 E 15th St","Tulsa","OK","74120","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"44. ","Lucky's Restaurant","(918) 592-5825","https://www.yellowpages.com/tulsa-ok/mip/luckys-restaurant-9118362","Restaurants,American Restaurants,Family Style Restaurants","","","1536 E 15th St","Tulsa","OK","74120","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"45. ","The Warehouse Bar & Grill","(918) 742-4728","https://www.yellowpages.com/tulsa-ok/mip/the-warehouse-bar-grill-471912356","Restaurants,Barbecue Restaurants,Bar & Grills","","","3346 S Peoria Ave","Tulsa","OK","74105","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"46. ","Goldie's Patio Grill","(918) 494-0330","https://www.yellowpages.com/tulsa-ok/mip/goldies-patio-grill-1364284","Restaurants,American Restaurants,Take Out Restaurants","http://www.goldies.com","","6121 E 61st St","Tulsa","OK","74136","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"47. ","Applebee's","(918) 254-4237","https://www.yellowpages.com/tulsa-ok/mip/applebees-9205625","Restaurants,American Restaurants,Bar & Grills","http://www.applebees.com","","9409 E 71st St","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"48. ","The Brasserie Restaurant & Bar","(918) 779-7070","https://www.yellowpages.com/tulsa-ok/mip/the-brasserie-restaurant-bar-636762","Restaurants,Family Style Restaurants","http://www.thebrasserietulsa.com","","3509 S Peoria Ave","Tulsa","OK","74105","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"49. ","Western Sizzlin","(918) 835-8442","https://www.yellowpages.com/tulsa-ok/mip/western-sizzlin-7799819","Restaurants,Steak Houses,American Restaurants","http://www.western-sizzlin.com","","6510 E 21st St","Tulsa","OK","74129","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"50. ","Ron's Hamburgers & Chili","(918) 664-5688","https://www.yellowpages.com/tulsa-ok/mip/rons-hamburgers-chili-2011126","Restaurants,Hamburgers & Hot Dogs,American Restaurants","http://www.ronsburgersandchili.com","","6548 E 51st St","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"51. ","Mimi's Cafe","(918) 254-6333","https://www.yellowpages.com/tulsa-ok/mip/mimis-cafe-2277761","Restaurants,American Restaurants,Breakfast, Brunch & Lunch Restaurants","http://www.mimiscafe.com","","8215 E 71st St","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"52. ","Mazzios Italian Eatery","(918) 664-4444","https://www.yellowpages.com/tulsa-ok/mip/mazzios-italian-eatery-471101093","Restaurants,Italian Restaurants,Pizza","https://www.mazzios.com","","3975 S Garnett Rd","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"53. ","Fuji At Brookside","(918) 794-4448","https://www.yellowpages.com/tulsa-ok/mip/fuji-at-brookside-5065727","Restaurants,Japanese Restaurants,Asian Restaurants","http://www.fujitulsa.com","","3739 S Peoria Ave","Tulsa","OK","74105","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"54. ","Brookside By Day","(918) 745-9989","https://www.yellowpages.com/tulsa-ok/mip/brookside-by-day-7038215","Restaurants,Coffee Shops,American Restaurants","http://brooksidebyday.com","","3313 S Peoria Ave","Tulsa","OK","74105","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"55. ","Mahogany Prime Steakhouse","(918) 494-4043","https://www.yellowpages.com/tulsa-ok/mip/mahogany-prime-steakhouse-461726159","Restaurants,Steak Houses,Take Out Restaurants","http://www.mahoganyprime.com","","6823 S Yale Ave","Tulsa","OK","74136","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"56. ","Red Robin Gourmet Burgers","(918) 296-0072","https://www.yellowpages.com/tulsa-ok/mip/red-robin-gourmet-burgers-464836314","Restaurants,Family Style Restaurants,Take Out Restaurants","http://www.redrobin.com","","9810 Riverside Pkwy","Tulsa","OK","74137","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"57. ","Black Angus Steakhouse","(918) 493-7000","https://www.yellowpages.com/tulsa-ok/mip/black-angus-steakhouse-473776119","Restaurants,Steak Houses,American Restaurants","http://www.blackangus.com","","1902 E 71st St","Tulsa","OK","74136","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"58. ","Smashburger","(539) 777-2082","https://www.yellowpages.com/tulsa-ok/mip/smashburger-22929780","Restaurants,Hamburgers & Hot Dogs,American Restaurants","http://smashburger.com/locations/us/ok/tulsa/7392-olympia-ave","","7392 S Olympia Ave","Tulsa","OK","74132","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"59. ","Elmer's BBQ","(918) 742-6702","https://www.yellowpages.com/tulsa-ok/mip/elmers-bbq-547392390?lid=1000115339226","Restaurants,Caterers,Barbecue Restaurants","","","4130 S Peoria Ave","Tulsa","OK","74105","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"60. ","Billy's On the Square","(918) 583-8703","https://www.yellowpages.com/tulsa-ok/mip/billys-on-the-square-2680453","Restaurants,American Restaurants","http://www.billysonthesquare.com","","424 S Main St","Tulsa","OK","74103","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=2"
"61. ","Evelyn's Restaurant","(918) 835-1212","https://www.yellowpages.com/tulsa-ok/mip/evelyns-restaurant-2726159","Restaurants,American Restaurants","http://evelynsoulfood.weebly.com","","3014 N 74th East Ave Ste D","Tulsa","OK","74115","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"62. ","Logan's Roadhouse","(918) 445-3700","https://www.yellowpages.com/tulsa-ok/mip/logans-roadhouse-459454483","Restaurants,American Restaurants,Barbecue Restaurants","http://www.logansroadhouse.com","","7588 S Olympia Ave","Tulsa","OK","74132","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"63. ","Chili's Grill & Bar","(918) 445-9939","https://www.yellowpages.com/tulsa-ok/mip/chilis-grill-bar-2024195","Restaurants,American Restaurants,Bars","http://www.chilis.com/EN/Pages/LocationLanding.aspx?RestaurantId=001.005.1416&Tab=0&OnlineEnabled=True&DeliveryEnabled=True&Country=US","","7212 S Olympia Ave","Tulsa","OK","74132","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"64. ","Bbd Ii","(918) 481-5555","https://www.yellowpages.com/tulsa-ok/mip/bbd-ii-472463510","Restaurants,American Restaurants,Sandwich Shops","http://www.bbd2tulsa.com","","8218 S Harvard Ave","Tulsa","OK","74137","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"65. ","Zio's Italian Kitchen","(918) 250-5999","https://www.yellowpages.com/tulsa-ok/mip/zios-italian-kitchen-465266811","Restaurants,Italian Restaurants,Family Style Restaurants","http://zios.com","","7111 S Mingo Rd","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"66. ","Pepper's Grill","(918) 749-2163","https://www.yellowpages.com/tulsa-ok/mip/peppers-grill-13399141","Restaurants,American Restaurants,Bars","http://www.peppersgrillinc.com","","1950 Utica Sq","Tulsa","OK","74114","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"67. ","First Watch Restaurant","(918) 610-3447","https://www.yellowpages.com/tulsa-ok/mip/first-watch-restaurant-462576880","Restaurants,Breakfast, Brunch & Lunch Restaurants,American Restaurants","http://www.firstwatch.com","","8104 E 68th St","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"68. ","El Chico","(918) 663-7755","https://www.yellowpages.com/tulsa-ok/mip/el-chico-11200026","Restaurants,Mexican Restaurants,Family Style Restaurants","http://www.elchico.com","","9825 E 21st St","Tulsa","OK","74129","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"69. ","Cosmos Cafe","(918) 933-4848","https://www.yellowpages.com/tulsa-ok/mip/cosmos-cafe-450791579","Restaurants,Coffee Shops,American Restaurants","http://www.cosmo-cafe.com","","3334 S Peoria Ave","Tulsa","OK","74105","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"70. ","Brothers Houligan - Yale Ave","(918) 254-1086","https://www.yellowpages.com/tulsa-ok/mip/brothers-houligan-yale-ave-458799850","Restaurants,American Restaurants,Steak Houses","http://www.broshouligan.com","","4848 S Yale Ave","Tulsa","OK","74135","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"71. ","Village Inn","(918) 254-7623","https://www.yellowpages.com/tulsa-ok/mip/village-inn-4378989","Restaurants,American Restaurants,Breakfast, Brunch & Lunch Restaurants","http://www.villageinn.com","","8320 E 71st St","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"72. ","Piatto Cucina Italina","(918) 770-0719","https://www.yellowpages.com/tulsa-ok/mip/piatto-cucina-italina-453680931","Restaurants,Italian Restaurants","","","7153 S Olympia Ave","Tulsa","OK","74132","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"73. ","Kimmy's Diner","(918) 561-6764","https://www.yellowpages.com/tulsa-ok/mip/kimmys-diner-13549817","Restaurants,American Restaurants,Thai Restaurants","","","11009 E 41st St","Tulsa","OK","74146","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"74. ","Boston Deli Grill & Market","(918) 492-4745","https://www.yellowpages.com/tulsa-ok/mip/boston-deli-grill-market-13399000","Restaurants,American Restaurants,Delicatessens","http://www.thebostondeli.com","","6231 E 61st St","Tulsa","OK","74136","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"75. ","Stutts House of Bar-B-Q","(918) 428-2355","https://www.yellowpages.com/tulsa-ok/mip/stutts-house-of-bar-b-q-10680616","Restaurants,Barbecue Restaurants","http://www.facebook.com/pages/Stutts-House-Of-Bar-B-Q/159794504058563","","2021 E Apache St","Tulsa","OK","74110","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"76. ","Kilkenny's Irish Pub","(918) 582-8282","https://www.yellowpages.com/tulsa-ok/mip/kilkennys-irish-pub-2740396","Restaurants,Irish Restaurants,Bars","http://www.tulsairishpub.com","","1413 E 15th St","Tulsa","OK","74120","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"77. ","Houligan Enterprises Inc","(918) 747-1086","https://www.yellowpages.com/tulsa-ok/mip/houligan-enterprises-inc-4149896","Restaurants,American Restaurants,Hamburgers & Hot Dogs","http://www.broshouligan.com","","2508 E 15th St","Tulsa","OK","74104","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"78. ","Buffalo Wild Wings","(918) 445-9953","https://www.yellowpages.com/tulsa-ok/mip/buffalo-wild-wings-22039727","Restaurants,Chicken Restaurants,Take Out Restaurants","http://www.buffalowildwings.com","","7568 S Olympia Ave","Tulsa","OK","74132","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"79. ","Ti Amo Ristorante","(918) 499-1919","https://www.yellowpages.com/tulsa-ok/mip/ti-amo-ristorante-9651305","Restaurants,Italian Restaurants,Mediterranean Restaurants","http://www.tiamotulsa.com","","6024 S Sheridan Rd","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"80. ","Dave & Buster's Tulsa","(918) 449-3100","https://www.yellowpages.com/tulsa-ok/mip/dave-busters-tulsa-22967979","Restaurants,American Restaurants,Amusement Places & Arcades","https://www.daveandbusters.com/us/en/about/locations/tulsa","","6812 S 105th East Ave","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"81. ","5 & Diner","(918) 828-3467","https://www.yellowpages.com/tulsa-ok/mip/5-diner-459462605","Restaurants,American Restaurants","","","3637 S Memorial Dr","Tulsa","OK","74145","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"82. ","Fuddruckers","(918) 294-3833","https://www.yellowpages.com/tulsa-ok/mip/fuddruckers-583830","Restaurants,American Restaurants,Family Style Restaurants","http://www.fuddruckers.com","","10825 E 71st St","Tulsa","OK","74133","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
"83. ","Mondo's Ristorante' Italiano on Brookside","(918) 561-6300","https://www.yellowpages.com/tulsa-ok/mip/mondos-ristorante-italiano-on-brookside-470660214","Restaurants,Italian Restaurants","http://www.mondositalian.com","","3410 S Peoria Ave","Tulsa","OK","74105","https://www.yellowpages.com/search?search_terms=restaurants&geo_location_terms=Tulsa,ok&page=3"
